STOREID,STORE NAME,CATEGORY OF PRODUCTS AVAILABLE,ADDRESS,CITY,ZIPCODE,COUNTRY,PHONE
439673,Telekom Shop Berlin Mitte,HEADPHONES,8 Alexanderplatz,Berlin,10178,Germany,
402153,Lindgrens Radio & TV AB,"WELLNESS,WEARABLES",18 Tullportsgatan,Norrtälje,761 30,Sweden,4617679780
405395,Media Markt TV-Hifi- Elektro GmbH  Ludwigsburg,HEADPHONES, Heinkelstraße 1,Ludwigsburg,71634,Germany,4971412350
400190,Mini Radio & TV,HEADPHONES,17 Vestergade,Herning,7400,Denmark,4597125766
400549,Mayerhofer,HEADPHONES AND SPEAKERS,146 Schönbrunnerstraße,Wien,1120,Austria,4318131669
436025,Interdiscount Haag (Rheintal),HEADPHONES AND SPEAKERS, Haag-Center,Haag (Rheintal),9469,Switzerland,41817716311
443685,MORFOISSE BARON,"WELLNESS,WEARABLES",8 RUE DE LA BRIQUETERIE,VITRE,35500,France,3.30E+11
TH_68,Studio 7 @ Central Festival Hat Yai,"HEADPHONES,SPEAKERSWELLNESS,WEARABLES"," Kanjanawanich., Hadyai",Songkha,90110,Thailand,+66 8 83995538
AU_16,Premium Dealer: Audio Junction Pty Limited,"WELLNESS,WEARABLES", Shop 4,Hamilton,2303,Australia,
IN_197,"Reliance Digital, Cunnigham Road",HEADPHONES, No. 74 Ground Floor,Bengaluru,560052,India,080 41286000
401433,BOULANGER CAMBRAI BOULANGER,SPEAKERS, CENTRE COMMERCIAL CORA  RN44,CAMBRAI,59400,France,33362532200
430307,SVD FRANCE,HEADPHONES,18 AVENUE DE LA FORET,EYSINES,33326,France,3.31E+11
AU_582,AUTHORISED RESELLER (SLEEPBUDS ONLY): Harvey Norman AV/IT Chirnside Park,HEADPHONES AND SPEAKERS, 286 Maroondah Highway,CHIRNSIDE PARK,3138,Australia,
401878,DARTY FORBACH DARTY,"WELLNESS,WEARABLES", Carrrefour de l'Europe RN3,FORBACH,57600,France,33387879610
449277,MED STORE - CHIETI,HEADPHONES,snc Loc. Santa Filomena c/o CC Megalo',CHIETI,66013,Italy,
TH_31,Studio 7 @ Central Plaza Rama II,"HEADPHONES,SPEAKERSWELLNESS,WEARABLES"," Rama2, Samaedum, Bangkhuntian",Bangkok,10150,Thailand,+66 2 8721403
400644,Saturn Graz V Citypark,HEADPHONES AND SPEAKERS,55 Lazarettgürtel,Graz,8020,Austria,43154633
400569,Media Markt Innsbruck,HEADPHONES,8 Grabenweg,Innsbruck,6020,Austria,43154699
IN_51,INORBIT MALL,HEADPHONES, Inorbit Mall road,Hyderabad,500081,India,0091 40 40112014
400937,Media Markt Cruquius B.V.,HEADPHONES AND SPEAKERS,10 Cruquiusplein,Cruquius,2142 EV,Netherlands,31235438800
