Sno,product_name,product_price,disc_price
1,SBS BAGS Maroon P.U. Sling Bag,Rs. 1200,Rs.  349
2,The maxim Pink P.U. Shoulder Bag,Rs. 799,Rs.  459
3,Grace Top Black Faux Leather Shoulder Bag,Rs. 1299,Rs.  499
4,Batterflye Gold PU Shoulder bag and Sling bag combo,Rs. 2999,Rs.  699
5,Sr Sales Beige P.U. Sling Bag,Rs. 1200,Rs.  349
6,Bizarre Vogue Brown P.U. Shoulder Bag,Rs. 1499,Rs.  539
7,FLETE Brown Artificial Leather Sling Bag,Rs. 999,Rs.  299
8,Parrk Black P.U. Backpack Combo,Rs. 1250,Rs.  682
9,Glasy Green P.U. Sling Bag,Rs. 1999,Rs.  1120
10,Mark & Keith PeachPuff PU Sling bag,Rs. 3499,Rs.  1089
11,Mammon Tan Faux Leather Shoulder Tote Bag,Rs. 1099,Rs.  399
12,Ratan's Key Chain free with Brown P.U. Sling Bag ,Rs. 1299,Rs.  485
13,Regalovalle Pink Faux Leather Combo,Rs. 1499,Rs.  474
14,Mammon Black Faux Leather shoulder bag and sling bag combo,Rs. 1300,Rs.  549
15,Trendy Sea Blue P.U. Sling Bag for Ladies by V. K Enterprises & Services,Rs. 1299,Rs.  398
16,Fostelo Red Shoulder Bag,Rs. 3199,Rs.  795
17,Shankey Collection Multi Faux Leather Shoulder Bag,Rs. 1499,Rs.  349
18,Mark & Keith Brown P.U. Handheld shoulder bag,Rs. 2499,Rs.  1049
19,Bellina PeachPuff Synthetic Shoulder Bag,Rs. 1599,Rs.  449
